DateTime,AddedIPs,RemovedIPs
1584545013,9,6
1584545734,13,8
1584546453,5,7
1584547172,6,4
1584547892,6,3
1584548612,4,5
1584549333,76,8
1584550293,10,6
1584551253,9,7
1584551973,6,5
1584552693,6,4
1584553413,5,7
1584554133,3,7
1584554852,0,4
1584555573,2,4
1584556293,6,2002
1584557014,4,9
1584557733,5,8
1584558453,5,7
1584559173,4,3
1584559893,14,10
1584560613,17,6
1584561333,4,8
1584562052,7,4
1584562772,2,5
1584563493,4,5
1584564214,4,6
1584564933,9,6
1584565652,5,7
1584566374,7,28
1584567092,3,23
1584567813,4,5
1584568532,5,5
1584569253,3,11
1584569974,23,8
1584570693,5,6
1584571412,6,8
1584572133,4,12
1584572852,8,70
1584573573,4,9
1584574293,5,5
1584575014,3,3
1584575733,12,10
1584576453,7,6
1584577173,5,7
1584577893,9,5
1584578613,6,6
1584579333,8,8
1584580052,7,35
1584580773,7,2
1584581492,4,7
1584582213,10,4
1584582932,6,4
1584583653,7,10
1584584372,24,6
1584585093,13,7
1584585813,18,6
1584586533,14,5
1584587252,6,4
1584587973,7,7
1584588693,9,3
1584589413,5,5
1584590132,15,6
1584590852,7,2
1584591573,7,10
1584592292,5,6
1584593012,8,5
1584593733,18,1
1584594453,10,8
1584595172,5,5
1584595893,15,5
1584596613,6,7
1584597333,6,9
1584598053,10,1
1584598773,8,4
1584599493,4,3
1584600213,7,4
1584600933,8,7
1584601653,3,7
1584602373,11,5
1584603093,8,5
1584603813,11,7
1584604533,11,18
1584605253,6,98
1584605973,8,9
1584606693,6,3
1584607413,8,6
1584608133,12,13
1584608853,6,24
1584609574,4,16
1584610294,10,13
1584611013,6,20
1584611733,4,16
1584612452,10,10
1584613172,7,1321
1584613893,10,8
1584614613,12,14
1584615333,10,9
1584616053,9,8
1584616773,9,9
1584617493,6,8
1584618212,11,5
1584618933,2,8
1584619653,3,6
1584620373,10,5
1584621093,7,7
1584621813,10,7
1584622533,5,6
1584623252,7,7
1584623973,7,8
1584624692,5,3
1584625413,5,4
1584626132,5,1
1584626853,6,4
1584627573,9,2
1584628293,2,3
1584629012,3,2
1584629732,4,9
1584630453,8,9
1584631172,11,3
1584631893,9,12
1584632613,13,9
1584633333,12,13
1584634773,14,20
1584635493,9,9
1584636213,9,19
1584636932,13,6
1584637653,7,12
1584638373,4,16
1584639093,5,17
1584639812,7,10
1584640533,4,12
1584641252,13,4
1584641972,7,7
1584642692,11,2019
1584643413,11,6
1584644133,8,9
1584644853,135,13
1584645573,5,7
1584646292,1,18
1584647013,3,26
1584647733,3,12
1584648452,5,9
1584649172,6,11
1584649893,6,9
1584650613,5,10
1584651333,5,18
1584652052,4,4
1584652773,6,8
1584653492,8,2
1584654213,6,11
1584654932,5,9
1584655653,7,10
1584656373,9,28
1584657093,7,6
1584657813,6,6
1584658533,9,4
1584659253,9,8
1584659973,7,6
1584660693,11,9
1584661412,12,7
1584662133,5,14
1584662853,10,13
1584663573,9,12
1584664293,112,9
1584665013,3,5
1584665733,5,13
1584666453,9,9
1584667172,6,9
1584667892,2,13
1584668613,7,15
1584669333,9,10
1584670053,9,8
1584670772,9,31
1584671493,2,17
1584672213,6,18
1584672933,5,16
1584673652,10,12
1584674373,4,9
1584675093,5,17
1584675813,9,11
1584676532,12,15
1584677492,10,12
1584678213,5,9
1584678932,7,6
1584679653,6,16
1584680373,4,19
1584681333,3,14
1584682053,9,16
1584682772,6,9
1584683493,4,10
1584684213,4,6
1584684933,8,16
1584685652,7,12
1584686373,6,9
1584687093,7,5
1584688052,9,12
1584688772,6,10
1584689492,8,11
1584690213,8,11
1584690932,7,13
1584691892,14,14
1584692612,5,11
1584693333,5,8
1584694053,3,13
1584694772,2,13
1584695493,7,15
1584696213,6,8
1584696932,5,15
1584697652,6,8
1584698372,5,6
1584699332,8,17
1584700053,5,11
1584700773,2,17
1584701492,6,11
1584702212,4,9
1584702933,10,19
1584703652,6,5
1584704373,4,15
1584705092,3,11
1584705813,8,4
1584706532,6,9
1584707253,2,8
1584707973,8,19
1584708692,11,11
1584709412,34,9
1584710132,6,8
1584710852,5,4
1584711572,5,9
1584712293,5,5
1584713253,9,8
1584713973,3,14
1584714692,8,2
1584715412,12,3
1584716132,9,4
1584717093,20,11
1584717813,10,13
1584718533,13,11
1584719492,5,25
1584720213,7,5
1584720933,8,7
1584721653,5,8
1584722372,12,10
1584723092,6,12
1584724053,16,16
1584724773,68,13
1584725492,4,5
1584726212,7,7
1584726932,9,10
1584727653,13,10
1584728372,14,12
1584729111,10,1259
1584729813,10,16
1584730533,4,26
1584731252,4,127
1584731972,4,2
1584732692,10,2
1584733413,9,8
1584734133,5,12
1584734853,6,21
1584735573,11,10
1584736292,8,10
1584737013,4,10
1584737733,6,9
1584738452,25,8
1584739173,20,13
1584739892,15,9
1584740612,21,15
1584741333,9,7
1584742052,18,14
1584742772,10,11
1584743493,12,12
1584744213,14,9
1584744932,25,15
1584745653,14,13
1584746373,6,11
1584747093,12,15
1584747812,8,15
1584748532,11,12
1584749252,24,11
1584749973,42,14
1584750692,30,110
1584751412,24,4
1584752132,24,10
1584752852,34,11
1584753573,25,18
1584754293,18,12
1584755012,18,10
1584755732,16,9
1584756453,25,12
1584757172,13,8
1584757892,8,3
1584758612,10,4
1584759332,11,8
1584760053,17,16
1584760772,14,7
1584761493,21,15
1584762213,8,19
1584762933,13,11
1584763653,10,19
1584764373,12,12
1584765093,14,9
1584765813,10,9
1584766532,16,7
1584767252,24,10
1584767972,8,9
1584768693,6,12
1584769413,12,3
1584770133,9,7
1584770853,17,6
1584771572,14,19
1584772293,15,6
1584773013,18,9
1584773733,14,8
1584774453,13,11
1584775173,15,8
1584775892,16,15
1584776612,8,12
1584777332,6,10
1584778052,11,13
1584778773,9,12
1584779493,9,11
1584780213,6,5
1584780932,8,2
1584781652,7,8
1584782372,10,10
1584783093,15,8
1584783812,8,7
1584784532,17,20
1584785253,17,7
1584785973,25,8
1584786693,21,10
1584787413,23,14
1584788133,12,8
1584788852,6,4
1584789573,6,12
